index,LSH_Distance,KD_Distance,Difference
946,650.501,602.663,47.838
947,636.849,585.204,51.645
948,623.233,574.245,48.988
949,640.208,568.436,71.772
950,674.102,593.018,81.084
951,613.480,537.879,75.601
952,597.335,575.752,21.582
953,608.588,556.269,52.319
954,649.511,580.284,69.228
955,661.304,590.710,70.595
956,615.848,579.057,36.791
957,644.038,554.146,89.893
958,643.101,595.003,48.098
959,610.195,567.618,42.576
960,606.105,551.826,54.279
961,653.365,590.285,63.080
962,635.430,577.006,58.424
963,620.110,561.463,58.647
964,639.423,586.611,52.812
965,662.560,601.691,60.869
966,642.250,576.732,65.519
967,609.010,568.184,40.826
968,651.249,591.405,59.844
969,636.277,572.576,63.701
970,643.080,581.708,61.371
971,667.170,609.375,57.796
972,623.169,591.436,31.733
973,618.552,573.365,45.187
974,620.809,580.492,40.317
975,647.553,609.848,37.705
976,653.734,595.761,57.973
977,649.884,579.301,70.583
978,597.921,554.348,43.573
979,629.402,552.937,76.465
980,708.998,626.514,82.484
981,627.974,581.872,46.101
982,609.363,584.991,24.373
983,620.481,578.198,42.283
984,644.348,568.441,75.907
985,652.567,578.296,74.270
986,596.606,565.658,30.948
987,637.846,550.220,87.626
988,658.026,605.781,52.245
989,634.903,585.865,49.038
990,651.771,593.397,58.374
991,651.024,598.413,52.611
992,596.362,566.853,29.509
